Office,Party,County Name,Candidate Name,Votes/Percentage,
United States Congressperson - District 2,Democratic Party,CLEAR CREEK,Mark Williams,412,
United States Congressperson - District 2,Democratic Party,EAGLE,Mark Williams,481,
United States Congressperson - District 2,Democratic Party,GILPIN,Mark Williams,327,
United States Congressperson - District 2,Democratic Party,GRAND,Mark Williams,530,
United States Congressperson - District 2,Democratic Party,JEFFERSON,Mark Williams,"3,393",
United States Congressperson - District 2,Democratic Party,LARIMER,Mark Williams,"12,525",
United States Congressperson - District 2,Democratic Party,PARK,Mark Williams,243,
United States Congressperson - District 2,Democratic Party,SUMMIT,Mark Williams,"1,120",
United States Congressperson - District 2,Democratic Party,TOTAL,Mark Williams,"40,044",
United States Congressperson - District 2,Democratic Party,PERCENTAGE,Mark Williams,34.26%,
United States Congressperson - District 2,Republican Party,BOULDER,Peter Yu,"7,297",
United States Congressperson - District 2,Republican Party,BROOMFIELD,Peter Yu,"4,966",
United States Congressperson - District 2,Republican Party,CLEAR CREEK,Peter Yu,756,
United States Congressperson - District 2,Republican Party,EAGLE,Peter Yu,353,
United States Congressperson - District 2,Republican Party,GILPIN,Peter Yu,466,
United States Congressperson - District 2,Republican Party,GRAND,Peter Yu,"1,255",
United States Congressperson - District 2,Republican Party,JEFFERSON,Peter Yu,"7,956",
United States Congressperson - District 2,Republican Party,LARIMER,Peter Yu,"20,255",
United States Congressperson - District 2,Republican Party,PARK,Peter Yu,"1,385",
United States Congressperson - District 2,Republican Party,SUMMIT,Peter Yu,"1,281",
United States Congressperson - District 2,Republican Party,TOTAL,Peter Yu,"45,970",
United States Congressperson - District 2,Republican Party,PERCENTAGE,Peter Yu,100.00%,WINNER
United States Congressperson - District 3,Democratic Party,ALAMOSA,Diane Mitsch Bush,915,
United States Congressperson - District 3,Democratic Party,ARCHULETA,Diane Mitsch Bush,714,
United States Congressperson - District 3,Democratic Party,CONEJOS,Diane Mitsch Bush,514,
United States Congressperson - District 3,Democratic Party,COSTILLA,Diane Mitsch Bush,562,
United States Congressperson - District 3,Democratic Party,CUSTER,Diane Mitsch Bush,310,
United States Congressperson - District 3,Democratic Party,DELTA,Diane Mitsch Bush,"1,552",
United States Congressperson - District 3,Democratic Party,DOLORES,Diane Mitsch Bush,90,
United States Congressperson - District 3,Democratic Party,EAGLE,Diane Mitsch Bush,"2,818",
United States Congressperson - District 3,Democratic Party,GARFIELD,Diane Mitsch Bush,"3,052",
United States Congressperson - District 3,Democratic Party,GUNNISON,Diane Mitsch Bush,"1,334",
United States Congressperson - District 3,Democratic Party,HINSDALE,Diane Mitsch Bush,42,
United States Congressperson - District 3,Democratic Party,HUERFANO,Diane Mitsch Bush,723,
United States Congressperson - District 3,Democratic Party,JACKSON,Diane Mitsch Bush,37,
United States Congressperson - District 3,Democratic Party,LA PLATA,Diane Mitsch Bush,"3,409",
United States Congressperson - District 3,Democratic Party,LAKE,Diane Mitsch Bush,409,
United States Congressperson - District 3,Democratic Party,MESA,Diane Mitsch Bush,"6,800",
United States Congressperson - District 3,Democratic Party,MINERAL,Diane Mitsch Bush,127,
United States Congressperson - District 3,Democratic Party,MOFFAT,Diane Mitsch Bush,247,
United States Congressperson - District 3,Democratic Party,MONTEZUMA,Diane Mitsch Bush,"1,311",
United States Congressperson - District 3,Democratic Party,MONTROSE,Diane Mitsch Bush,"1,808",
United States Congressperson - District 3,Democratic Party,OURAY,Diane Mitsch Bush,547,
United States Congressperson - District 3,Democratic Party,PITKIN,Diane Mitsch Bush,"1,525",
United States Congressperson - District 3,Democratic Party,PUEBLO,Diane Mitsch Bush,"10,547",
United States Congressperson - District 3,Democratic Party,RIO BLANCO,Diane Mitsch Bush,109,
United States Congressperson - District 3,Democratic Party,RIO GRANDE,Diane Mitsch Bush,549,
United States Congressperson - District 3,Democratic Party,ROUTT,Diane Mitsch Bush,"3,251",
United States Congressperson - District 3,Democratic Party,SAGUACHE,Diane Mitsch Bush,539,
United States Congressperson - District 3,Democratic Party,SAN JUAN,Diane Mitsch Bush,76,
United States Congressperson - District 3,Democratic Party,SAN MIGUEL,Diane Mitsch Bush,892,
United States Congressperson - District 3,Democratic Party,TOTAL,Diane Mitsch Bush,"44,809",
United States Congressperson - District 3,Democratic Party,PERCENTAGE,Diane Mitsch Bush,64.08%,WINNER
United States Congressperson - District 3,Democratic Party,ALAMOSA,Karl Hanlon,330,
United States Congressperson - District 3,Democratic Party,ARCHULETA,Karl Hanlon,236,
United States Congressperson - District 3,Democratic Party,CONEJOS,Karl Hanlon,263,
United States Congressperson - District 3,Democratic Party,COSTILLA,Karl Hanlon,262,
United States Congressperson - District 3,Democratic Party,CUSTER,Karl Hanlon,64,
United States Congressperson - District 3,Democratic Party,DELTA,Karl Hanlon,490,
United States Congressperson - District 3,Democratic Party,DOLORES,Karl Hanlon,33,
United States Congressperson - District 3,Democratic Party,EAGLE,Karl Hanlon,633,
United States Congressperson - District 3,Democratic Party,GARFIELD,Karl Hanlon,"1,721",
United States Congressperson - District 3,Democratic Party,GUNNISON,Karl Hanlon,375,
United States Congressperson - District 3,Democratic Party,HINSDALE,Karl Hanlon,12,
United States Congressperson - District 3,Democratic Party,HUERFANO,Karl Hanlon,299,
United States Congressperson - District 3,Democratic Party,JACKSON,Karl Hanlon,16,
United States Congressperson - District 3,Democratic Party,LA PLATA,Karl Hanlon,"2,309",
United States Congressperson - District 3,Democratic Party,LAKE,Karl Hanlon,214,
United States Congressperson - District 3,Democratic Party,MESA,Karl Hanlon,"2,873",
United States Congressperson - District 3,Democratic Party,MINERAL,Karl Hanlon,60,
United States Congressperson - District 3,Democratic Party,MOFFAT,Karl Hanlon,94,
United States Congressperson - District 3,Democratic Party,MONTEZUMA,Karl Hanlon,507,
United States Congressperson - District 3,Democratic Party,MONTROSE,Karl Hanlon,632,
United States Congressperson - District 3,Democratic Party,OURAY,Karl Hanlon,193,
United States Congressperson - District 3,Democratic Party,PITKIN,Karl Hanlon,944,
United States Congressperson - District 3,Democratic Party,PUEBLO,Karl Hanlon,"5,896",
United States Congressperson - District 3,Democratic Party,RIO BLANCO,Karl Hanlon,27,
United States Congressperson - District 3,Democratic Party,RIO GRANDE,Karl Hanlon,221,
United States Congressperson - District 3,Democratic Party,ROUTT,Karl Hanlon,186,
United States Congressperson - District 3,Democratic Party,SAGUACHE,Karl Hanlon,155,
United States Congressperson - District 3,Democratic Party,SAN JUAN,Karl Hanlon,23,
United States Congressperson - District 3,Democratic Party,SAN MIGUEL,Karl Hanlon,300,
United States Congressperson - District 3,Democratic Party,TOTAL,Karl Hanlon,"19,368",
United States Congressperson - District 3,Democratic Party,PERCENTAGE,Karl Hanlon,27.70%,
United States Congressperson - District 3,Democratic Party,ALAMOSA,Arn Menconi,176,
United States Congressperson - District 3,Democratic Party,ARCHULETA,Arn Menconi,97,
United States Congressperson - District 3,Democratic Party,CONEJOS,Arn Menconi,126,
United States Congressperson - District 3,Democratic Party,COSTILLA,Arn Menconi,131,
United States Congressperson - District 3,Democratic Party,CUSTER,Arn Menconi,24,
United States Congressperson - District 3,Democratic Party,DELTA,Arn Menconi,204,
United States Congressperson - District 3,Democratic Party,DOLORES,Arn Menconi,7,
United States Congressperson - District 3,Democratic Party,EAGLE,Arn Menconi,544,
United States Congressperson - District 3,Democratic Party,GARFIELD,Arn Menconi,360,
United States Congressperson - District 3,Democratic Party,GUNNISON,Arn Menconi,130,
United States Congressperson - District 3,Democratic Party,HINSDALE,Arn Menconi,0,
United States Congressperson - District 3,Democratic Party,HUERFANO,Arn Menconi,96,
United States Congressperson - District 3,Democratic Party,JACKSON,Arn Menconi,4,
United States Congressperson - District 3,Democratic Party,LA PLATA,Arn Menconi,409,
United States Congressperson - District 3,Democratic Party,LAKE,Arn Menconi,116,
United States Congressperson - District 3,Democratic Party,MESA,Arn Menconi,704,
United States Congressperson - District 3,Democratic Party,MINERAL,Arn Menconi,14,
United States Congressperson - District 3,Democratic Party,MOFFAT,Arn Menconi,32,
United States Congressperson - District 3,Democratic Party,MONTEZUMA,Arn Menconi,155,
United States Congressperson - District 3,Democratic Party,MONTROSE,Arn Menconi,134,
United States Congressperson - District 3,Democratic Party,OURAY,Arn Menconi,60,
United States Congressperson - District 3,Democratic Party,PITKIN,Arn Menconi,129,
United States Congressperson - District 3,Democratic Party,PUEBLO,Arn Menconi,"1,751",
United States Congressperson - District 3,Democratic Party,RIO BLANCO,Arn Menconi,18,
United States Congressperson - District 3,Democratic Party,RIO GRANDE,Arn Menconi,96,
United States Congressperson - District 3,Democratic Party,ROUTT,Arn Menconi,76,
United States Congressperson - District 3,Democratic Party,SAGUACHE,Arn Menconi,75,
United States Congressperson - District 3,Democratic Party,SAN JUAN,Arn Menconi,6,
United States Congressperson - District 3,Democratic Party,SAN MIGUEL,Arn Menconi,80,
United States Congressperson - District 3,Democratic Party,TOTAL,Arn Menconi,"5,754",
United States Congressperson - District 3,Democratic Party,PERCENTAGE,Arn Menconi,8.23%,
United States Congressperson - District 3,Republican Party,ALAMOSA,Scott R. Tipton,"1,359",
United States Congressperson - District 3,Republican Party,ARCHULETA,Scott R. Tipton,"1,718",
United States Congressperson - District 3,Republican Party,CONEJOS,Scott R. Tipton,974,
United States Congressperson - District 3,Republican Party,COSTILLA,Scott R. Tipton,168,
United States Congressperson - District 3,Republican Party,CUSTER,Scott R. Tipton,"1,108",
United States Congressperson - District 3,Republican Party,DELTA,Scott R. Tipton,"4,259",
United States Congressperson - District 3,Republican Party,DOLORES,Scott R. Tipton,501,
United States Congressperson - District 3,Republican Party,EAGLE,Scott R. Tipton,"1,727",
United States Congressperson - District 3,Republican Party,GARFIELD,Scott R. Tipton,"4,072",
United States Congressperson - District 3,Republican Party,GUNNISON,Scott R. Tipton,912,
United States Congressperson - District 3,Republican Party,HINSDALE,Scott R. Tipton,208,
United States Congressperson - District 3,Republican Party,HUERFANO,Scott R. Tipton,655,
United States Congressperson - District 3,Republican Party,JACKSON,Scott R. Tipton,368,
United States Congressperson - District 3,Republican Party,LA PLATA,Scott R. Tipton,"3,673",
United States Congressperson - District 3,Republican Party,LAKE,Scott R. Tipton,261,
United States Congressperson - District 3,Republican Party,MESA,Scott R. Tipton,"17,721",
United States Congressperson - District 3,Republican Party,MINERAL,Scott R. Tipton,150,
United States Congressperson - District 3,Republican Party,MOFFAT,Scott R. Tipton,"2,378",
United States Congressperson - District 3,Republican Party,MONTEZUMA,Scott R. Tipton,"2,668",
United States Congressperson - District 3,Republican Party,MONTROSE,Scott R. Tipton,"5,305",
United States Congressperson - District 3,Republican Party,OURAY,Scott R. Tipton,586,
United States Congressperson - District 3,Republican Party,PITKIN,Scott R. Tipton,594,
United States Congressperson - District 3,Republican Party,PUEBLO,Scott R. Tipton,"10,452",
United States Congressperson - District 3,Republican Party,RIO BLANCO,Scott R. Tipton,"1,188",
United States Congressperson - District 3,Republican Party,RIO GRANDE,Scott R. Tipton,"1,583",
United States Congressperson - District 3,Republican Party,ROUTT,Scott R. Tipton,"1,560",
United States Congressperson - District 3,Republican Party,SAGUACHE,Scott R. Tipton,409,
United States Congressperson - District 3,Republican Party,SAN JUAN,Scott R. Tipton,34,
United States Congressperson - District 3,Republican Party,SAN MIGUEL,Scott R. Tipton,263,
United States Congressperson - District 3,Republican Party,TOTAL,Scott R. Tipton,"66,854",
United States Congressperson - District 3,Republican Party,PERCENTAGE,Scott R. Tipton,100.00%,WINNER
United States Congressperson - District 4,Democratic Party,ADAMS,Chase Kohne,137,
United States Congressperson - District 4,Democratic Party,ARAPAHOE,Chase Kohne,112,
United States Congressperson - District 4,Democratic Party,BACA,Chase Kohne,63,
United States Congressperson - District 4,Democratic Party,BENT,Chase Kohne,118,
United States Congressperson - District 4,Democratic Party,BOULDER,Chase Kohne,"4,097",
United States Congressperson - District 4,Democratic Party,CHEYENNE,Chase Kohne,29,
United States Congressperson - District 4,Democratic Party,CROWLEY,Chase Kohne,76,
United States Congressperson - District 4,Democratic Party,DOUGLAS,Chase Kohne,"6,479",
United States Congressperson - District 4,Democratic Party,ELBERT,Chase Kohne,464,
United States Congressperson - District 4,Democratic Party,KIOWA,Chase Kohne,32,
United States Congressperson - District 4,Democratic Party,KIT CARSON,Chase Kohne,74,
United States Congressperson - District 4,Democratic Party,LAS ANIMAS,Chase Kohne,506,
United States Congressperson - District 4,Democratic Party,LINCOLN,Chase Kohne,67,
United States Congressperson - District 4,Democratic Party,LOGAN,Chase Kohne,319,
United States Congressperson - District 4,Democratic Party,MORGAN,Chase Kohne,432,
United States Congressperson - District 4,Democratic Party,OTERO,Chase Kohne,458,
United States Congressperson - District 4,Democratic Party,PHILLIPS,Chase Kohne,52,
United States Congressperson - District 4,Democratic Party,PROWERS,Chase Kohne,210,
United States Congressperson - District 4,Democratic Party,SEDGWICK,Chase Kohne,35,
United States Congressperson - District 4,Democratic Party,WASHINGTON,Chase Kohne,49,
United States Congressperson - District 4,Democratic Party,WELD,Chase Kohne,"6,315",
United States Congressperson - District 4,Democratic Party,YUMA,Chase Kohne,145,
United States Congressperson - District 4,Democratic Party,TOTAL,Chase Kohne,"20,269",
United States Congressperson - District 4,Democratic Party,PERCENTAGE,Chase Kohne,35.32%,
United States Congressperson - District 4,Democratic Party,ADAMS,Karen McCormick,269,
United States Congressperson - District 4,Democratic Party,ARAPAHOE,Karen McCormick,277,
United States Congressperson - District 4,Democratic Party,BACA,Karen McCormick,152,
United States Congressperson - District 4,Democratic Party,BENT,Karen McCormick,256,
United States Congressperson - District 4,Democratic Party,BOULDER,Karen McCormick,"9,168",
United States Congressperson - District 4,Democratic Party,CHEYENNE,Karen McCormick,40,
United States Congressperson - District 4,Democratic Party,CROWLEY,Karen McCormick,148,
United States Congressperson - District 4,Democratic Party,DOUGLAS,Karen McCormick,"10,135",
United States Congressperson - District 4,Democratic Party,ELBERT,Karen McCormick,872,
United States Congressperson - District 4,Democratic Party,KIOWA,Karen McCormick,34,
United States Congressperson - District 4,Democratic Party,KIT CARSON,Karen McCormick,152,
United States Congressperson - District 4,Democratic Party,LAS ANIMAS,Karen McCormick,"1,399",
United States Congressperson - District 4,Democratic Party,LINCOLN,Karen McCormick,114,
United States Congressperson - District 4,Democratic Party,LOGAN,Karen McCormick,603,
United States Congressperson - District 4,Democratic Party,MORGAN,Karen McCormick,813,
United States Congressperson - District 4,Democratic Party,OTERO,Karen McCormick,"1,061",
United States Congressperson - District 4,Democratic Party,PHILLIPS,Karen McCormick,114,
United States Congressperson - District 4,Democratic Party,PROWERS,Karen McCormick,345,
United States Congressperson - District 4,Democratic Party,SEDGWICK,Karen McCormick,90,
United States Congressperson - District 4,Democratic Party,WASHINGTON,Karen McCormick,87,
United States Congressperson - District 4,Democratic Party,WELD,Karen McCormick,"10,781",
United States Congressperson - District 4,Democratic Party,YUMA,Karen McCormick,210,
United States Congressperson - District 4,Democratic Party,TOTAL,Karen McCormick,"37,120",
United States Congressperson - District 4,Democratic Party,PERCENTAGE,Karen McCormick,64.68%,WINNER
United States Congressperson - District 4,Republican Party,ADAMS,Ken Buck,"1,055",
United States Congressperson - District 4,Republican Party,ARAPAHOE,Ken Buck,"1,168",
United States Congressperson - District 4,Republican Party,BACA,Ken Buck,971,
United States Congressperson - District 4,Republican Party,BENT,Ken Buck,520,
United States Congressperson - District 4,Republican Party,BOULDER,Ken Buck,"6,164",
United States Congressperson - District 4,Republican Party,CHEYENNE,Ken Buck,520,
United States Congressperson - District 4,Republican Party,CROWLEY,Ken Buck,552,
United States Congressperson - District 4,Republican Party,DOUGLAS,Ken Buck,"24,747",
United States Congressperson - District 4,Republican Party,ELBERT,Ken Buck,"5,542",
United States Congressperson - District 4,Republican Party,KIOWA,Ken Buck,348,
United States Congressperson - District 4,Republican Party,KIT CARSON,Ken Buck,"1,132",
United States Congressperson - District 4,Republican Party,LAS ANIMAS,Ken Buck,"1,148",
United States Congressperson - District 4,Republican Party,LINCOLN,Ken Buck,861,
United States Congressperson - District 4,Republican Party,LOGAN,Ken Buck,"3,829",
United States Congressperson - District 4,Republican Party,MORGAN,Ken Buck,"3,180",
United States Congressperson - District 4,Republican Party,OTERO,Ken Buck,"2,298",
United States Congressperson - District 4,Republican Party,PHILLIPS,Ken Buck,"1,027",
United States Congressperson - District 4,Republican Party,PROWERS,Ken Buck,"1,523",
United States Congressperson - District 4,Republican Party,SEDGWICK,Ken Buck,446,
United States Congressperson - District 4,Republican Party,WASHINGTON,Ken Buck,"1,311",
United States Congressperson - District 4,Republican Party,WELD,Ken Buck,"24,735",
United States Congressperson - District 4,Republican Party,YUMA,Ken Buck,"2,213",
United States Congressperson - District 4,Republican Party,TOTAL,Ken Buck,"85,290",
United States Congressperson - District 4,Republican Party,PERCENTAGE,Ken Buck,100.00%,WINNER
United States Congressperson - District 5,Democratic Party,CHAFFEE,Stephany Rose Spaulding,"2,294",
United States Congressperson - District 5,Democratic Party,EL PASO,Stephany Rose Spaulding,"38,547",
United States Congressperson - District 5,Democratic Party,FREMONT,Stephany Rose Spaulding,"2,513",
United States Congressperson - District 5,Democratic Party,PARK,Stephany Rose Spaulding,612,
United States Congressperson - District 5,Democratic Party,TELLER,Stephany Rose Spaulding,"1,500",
United States Congressperson - District 5,Democratic Party,TOTAL,Stephany Rose Spaulding,"45,466",
United States Congressperson - District 5,Democratic Party,PERCENTAGE,Stephany Rose Spaulding,99.92%,WINNER
United States Congressperson - District 5,Democratic Party,CHAFFEE,Marcus Murphy,2,
United States Congressperson - District 5,Democratic Party,EL PASO,Marcus Murphy,35,
United States Congressperson - District 5,Democratic Party,FREMONT,Marcus Murphy,0,
United States Congressperson - District 5,Democratic Party,PARK,Marcus Murphy,0,
United States Congressperson - District 5,Democratic Party,TELLER,Marcus Murphy,1,
United States Congressperson - District 5,Democratic Party,TOTAL,Marcus Murphy,38,
United States Congressperson - District 5,Democratic Party,PERCENTAGE,Marcus Murphy,0.08%,
United States Congressperson - District 5,Republican Party,CHAFFEE,Owen Hill,405,
United States Congressperson - District 5,Republican Party,EL PASO,Owen Hill,"16,550",
United States Congressperson - District 5,Republican Party,FREMONT,Owen Hill,"1,215",
United States Congressperson - District 5,Republican Party,PARK,Owen Hill,267,
United States Congressperson - District 5,Republican Party,TELLER,Owen Hill,704,
United States Congressperson - District 5,Republican Party,TOTAL,Owen Hill,"19,141",
United States Congressperson - District 5,Republican Party,PERCENTAGE,Owen Hill,18.16%,
United States Congressperson - District 5,Republican Party,CHAFFEE,Bill Rhea,92,
United States Congressperson - District 5,Republican Party,EL PASO,Bill Rhea,"5,417",
United States Congressperson - District 5,Republican Party,FREMONT,Bill Rhea,374,
United States Congressperson - District 5,Republican Party,PARK,Bill Rhea,79,
United States Congressperson - District 5,Republican Party,TELLER,Bill Rhea,205,
United States Congressperson - District 5,Republican Party,TOTAL,Bill Rhea,"6,167",
United States Congressperson - District 5,Republican Party,PERCENTAGE,Bill Rhea,5.85%,
United States Congressperson - District 5,Republican Party,CHAFFEE,Doug Lamborn,"1,162",
United States Congressperson - District 5,Republican Party,EL PASO,Doug Lamborn,"46,040",
United States Congressperson - District 5,Republican Party,FREMONT,Doug Lamborn,"4,602",
United States Congressperson - District 5,Republican Party,PARK,Doug Lamborn,756,
United States Congressperson - District 5,Republican Party,TELLER,Doug Lamborn,"2,414",
United States Congressperson - District 5,Republican Party,TOTAL,Doug Lamborn,"54,974",
United States Congressperson - District 5,Republican Party,PERCENTAGE,Doug Lamborn,52.16%,WINNER
United States Congressperson - District 5,Republican Party,CHAFFEE,Tyler Stevens,80,
United States Congressperson - District 5,Republican Party,EL PASO,Tyler Stevens,"2,939",
United States Congressperson - District 5,Republican Party,FREMONT,Tyler Stevens,314,
United States Congressperson - District 5,Republican Party,PARK,Tyler Stevens,98,
United States Congressperson - District 5,Republican Party,TELLER,Tyler Stevens,212,
United States Congressperson - District 5,Republican Party,TOTAL,Tyler Stevens,"3,643",
United States Congressperson - District 5,Republican Party,PERCENTAGE,Tyler Stevens,3.46%,
United States Congressperson - District 5,Republican Party,CHAFFEE,Darryl Glenn,911,
United States Congressperson - District 5,Republican Party,EL PASO,Darryl Glenn,"17,261",
United States Congressperson - District 5,Republican Party,FREMONT,Darryl Glenn,"1,690",
United States Congressperson - District 5,Republican Party,PARK,Darryl Glenn,563,
United States Congressperson - District 5,Republican Party,TELLER,Darryl Glenn,"1,054",
United States Congressperson - District 5,Republican Party,TOTAL,Darryl Glenn,"21,479",
United States Congressperson - District 5,Republican Party,PERCENTAGE,Darryl Glenn,20.38%,
United States Congressperson - District 6,Democratic Party,ADAMS,Jason Crow,"5,478",
United States Congressperson - District 6,Democratic Party,ARAPAHOE,Jason Crow,"37,275",
United States Congressperson - District 6,Democratic Party,DOUGLAS,Jason Crow,"7,098",
United States Congressperson - District 6,Democratic Party,TOTAL,Jason Crow,"49,851",
United States Congressperson - District 6,Democratic Party,PERCENTAGE,Jason Crow,65.93%,WINNER
United States Congressperson - District 6,Democratic Party,ADAMS,Levi Tillemann,"3,181",
United States Congressperson - District 6,Democratic Party,ARAPAHOE,Levi Tillemann,"19,528",
United States Congressperson - District 6,Democratic Party,DOUGLAS,Levi Tillemann,"3,048",
United States Congressperson - District 6,Democratic Party,TOTAL,Levi Tillemann,"25,757",
United States Congressperson - District 6,Democratic Party,PERCENTAGE,Levi Tillemann,34.07%,
United States Congressperson - District 6,Republican Party,ADAMS,Mike Coffman,"6,933",
United States Congressperson - District 6,Republican Party,ARAPAHOE,Mike Coffman,"38,830",
United States Congressperson - District 6,Republican Party,DOUGLAS,Mike Coffman,"10,940",
United States Congressperson - District 6,Republican Party,TOTAL,Mike Coffman,"56,703",
United States Congressperson - District 6,Republican Party,PERCENTAGE,Mike Coffman,100.00%,WINNER
United States Congressperson - District 7,Democratic Party,ADAMS,Ed Perlmutter,"28,447",
United States Congressperson - District 7,Democratic Party,JEFFERSON,Ed Perlmutter,"53,544",
United States Congressperson - District 7,Democratic Party,TOTAL,Ed Perlmutter,"81,991",
United States Congressperson - District 7,Democratic Party,PERCENTAGE,Ed Perlmutter,100.00%,WINNER
United States Congressperson - District 7,Republican Party,ADAMS,Mark Barrington,"14,985",
United States Congressperson - District 7,Republican Party,JEFFERSON,Mark Barrington,"31,043",
United States Congressperson - District 7,Republican Party,TOTAL,Mark Barrington,"46,028",
United States Congressperson - District 7,Republican Party,PERCENTAGE,Mark Barrington,100.00%,WINNER
Governor,Democratic Party,ADAMS,Cary Kennedy,"8,756",
Governor,Democratic Party,ALAMOSA,Cary Kennedy,595,
Governor,Democratic Party,ARAPAHOE,Cary Kennedy,"17,166",
Governor,Democratic Party,ARCHULETA,Cary Kennedy,299,
Governor,Democratic Party,BACA,Cary Kennedy,57,
Governor,Democratic Party,BENT,Cary Kennedy,145,
Governor,Democratic Party,BOULDER,Cary Kennedy,"14,909",
Governor,Democratic Party,BROOMFIELD,Cary Kennedy,"1,868",
Governor,Democratic Party,CHAFFEE,Cary Kennedy,812,
Governor,Democratic Party,CHEYENNE,Cary Kennedy,22,
Governor,Democratic Party,CLEAR CREEK,Cary Kennedy,258,
Governor,Democratic Party,CONEJOS,Cary Kennedy,326,
Governor,Democratic Party,COSTILLA,Cary Kennedy,319,
Governor,Democratic Party,CROWLEY,Cary Kennedy,61,
Governor,Democratic Party,CUSTER,Cary Kennedy,112,
Governor,Democratic Party,DELTA,Cary Kennedy,653,
Governor,Democratic Party,DENVER,Cary Kennedy,"32,261",
Governor,Democratic Party,DOLORES,Cary Kennedy,50,
Governor,Democratic Party,DOUGLAS,Cary Kennedy,"7,410",
Governor,Democratic Party,EAGLE,Cary Kennedy,876,
Governor,Democratic Party,EL PASO,Cary Kennedy,"15,361",
Governor,Democratic Party,ELBERT,Cary Kennedy,342,
Governor,Democratic Party,FREMONT,Cary Kennedy,831,
Governor,Democratic Party,GARFIELD,Cary Kennedy,"1,421",
Governor,Democratic Party,GILPIN,Cary Kennedy,220,
Governor,Democratic Party,GRAND,Cary Kennedy,316,
Governor,Democratic Party,GUNNISON,Cary Kennedy,716,
Governor,Democratic Party,HINSDALE,Cary Kennedy,10,
Governor,Democratic Party,HUERFANO,Cary Kennedy,349,
Governor,Democratic Party,JACKSON,Cary Kennedy,26,
Governor,Democratic Party,JEFFERSON,Cary Kennedy,"19,822",
Governor,Democratic Party,KIOWA,Cary Kennedy,38,
Governor,Democratic Party,KIT CARSON,Cary Kennedy,65,
Governor,Democratic Party,LA PLATA,Cary Kennedy,"2,376",
Governor,Democratic Party,LAKE,Cary Kennedy,221,
Governor,Democratic Party,LARIMER,Cary Kennedy,"8,633",
Governor,Democratic Party,LAS ANIMAS,Cary Kennedy,510,
Governor,Democratic Party,LINCOLN,Cary Kennedy,62,
Governor,Democratic Party,LOGAN,Cary Kennedy,232,
Governor,Democratic Party,MESA,Cary Kennedy,"2,233",
Governor,Democratic Party,MINERAL,Cary Kennedy,57,
Governor,Democratic Party,MOFFAT,Cary Kennedy,115,
Governor,Democratic Party,MONTEZUMA,Cary Kennedy,718,
Governor,Democratic Party,MONTROSE,Cary Kennedy,600,
Governor,Democratic Party,MORGAN,Cary Kennedy,336,
Governor,Democratic Party,OTERO,Cary Kennedy,400,
Governor,Democratic Party,OURAY,Cary Kennedy,307,
Governor,Democratic Party,PARK,Cary Kennedy,286,
Governor,Democratic Party,PHILLIPS,Cary Kennedy,34,
Governor,Democratic Party,PITKIN,Cary Kennedy,648,
Governor,Democratic Party,PROWERS,Cary Kennedy,153,
