State,Year,Election Type,County,Precinct,Active Voters,Inactive Voters,Total Voters,Ballots Cast,Total Voters Turnout %,Comments
Colorado,2012,G,ADAMS,6255601161,119,26,145,114,78.62%,
Colorado,2012,G,ADAMS,6255601162,696,115,811,683,84.22%,
Colorado,2012,G,ADAMS,6255601163,144,28,172,133,77.33%,
Colorado,2012,G,ADAMS,6255601164,369,69,438,358,81.74%,
Colorado,2012,G,ADAMS,6255601165,510,23,533,494,92.68%,
Colorado,2012,G,ADAMS,6255601166,382,73,455,371,81.54%,
Colorado,2012,G,ADAMS,6255601167,421,84,505,411,81.39%,
Colorado,2012,G,ADAMS,6255601168,127,24,151,123,81.46%,
Colorado,2012,G,ADAMS,6255601169,406,86,492,394,80.08%,
Colorado,2012,G,ADAMS,6255601170,"1,021",434,"1,455",942,64.74%,
Colorado,2012,G,ADAMS,6255601171,"1,026",261,"1,287",963,74.83%,
Colorado,2012,G,ADAMS,6255601172,197,94,291,181,62.20%,
Colorado,2012,G,ADAMS,6255601173,89,20,109,84,77.06%,
Colorado,2012,G,ADAMS,6255601174,145,27,172,142,82.56%,
Colorado,2012,G,ADAMS,6255601175,990,259,"1,249",922,73.82%,
Colorado,2012,G,ADAMS,6255601176,332,62,394,318,80.71%,
Colorado,2012,G,ADAMS,6255601177,0,0,0,0,0.00%,
Colorado,2012,G,ADAMS,6255601178,1,1,2,0,0.00%,
Colorado,2012,G,ADAMS,6255601179,0,0,0,0,0.00%,
Colorado,2012,G,ADAMS,6255601180,490,111,601,472,78.54%,
Colorado,2012,G,ADAMS,6255601181,"1,056",410,"1,466","1,028",70.12%,
Colorado,2012,G,ADAMS,6255601182,452,144,596,436,73.15%,
Colorado,2012,G,ADAMS,6255601183,183,40,223,179,80.27%,
Colorado,2012,G,ADAMS,6255601184,234,53,287,227,79.09%,
Colorado,2012,G,ADAMS,6255601185,421,92,513,415,80.90%,
Colorado,2012,G,ADAMS,6255601186,935,352,"1,287",889,69.08%,
Colorado,2012,G,ADAMS,6255601187,949,309,"1,258",869,69.08%,
Colorado,2012,G,ADAMS,6255601188,645,130,775,610,78.71%,
Colorado,2012,G,ADAMS,6255601189,715,103,818,680,83.13%,
Colorado,2012,G,ADAMS,6255601190,"1,001",255,"1,256",947,75.40%,
Colorado,2012,G,ADAMS,6255601191,"1,112",435,"1,547","1,046",67.61%,
Colorado,2012,G,ADAMS,6255601192,675,292,967,623,64.43%,
Colorado,2012,G,ADAMS,6255601193,890,462,"1,352",827,61.17%,
Colorado,2012,G,ADAMS,6255601194,208,25,233,202,86.70%,
Colorado,2012,G,ADAMS,6255601195,315,64,379,298,78.63%,
Colorado,2012,G,ADAMS,6255601196,82,67,149,75,50.34%,
Colorado,2012,G,ADAMS,6255601197,37,13,50,35,70.00%,
Colorado,2012,G,ADAMS,6255601198,552,99,651,523,80.34%,
Colorado,2012,G,ADAMS,6255601227,307,46,353,294,83.29%,
Colorado,2012,G,ADAMS,6255601228,742,167,909,733,80.64%,
Colorado,2012,G,ADAMS,6255601244,567,85,652,542,83.13%,
Colorado,2012,G,ADAMS,7213001130,243,78,321,225,70.09%,
Colorado,2012,G,ADAMS,7213001140,473,171,644,454,70.50%,
Colorado,2012,G,ADAMS,7213001141,665,275,940,657,69.89%,
Colorado,2012,G,ADAMS,7213001199,498,104,602,478,79.40%,
Colorado,2012,G,ADAMS,7213001200,109,13,122,108,88.52%,
Colorado,2012,G,ADAMS,7213001201,226,55,281,220,78.29%,
Colorado,2012,G,ADAMS,7213001202,307,62,369,294,79.67%,
Colorado,2012,G,ADAMS,7213001203,173,35,208,169,81.25%,
Colorado,2012,G,ADAMS,7213001204,543,211,754,523,69.36%,
Colorado,2012,G,ADAMS,7213001205,914,268,"1,182",886,74.96%,
Colorado,2012,G,ADAMS,7213001206,"1,001",332,"1,333",971,72.84%,
Colorado,2012,G,ADAMS,7213001207,554,100,654,529,80.89%,
Colorado,2012,G,ADAMS,7213001210,753,202,955,728,76.23%,
Colorado,2012,G,ADAMS,7213001211,337,128,465,295,63.44%,
Colorado,2012,G,ADAMS,7213001212,115,27,142,114,80.28%,
Colorado,2012,G,ADAMS,7213001213,53,7,60,54,90.00%,
Colorado,2012,G,ADAMS,7213001214,819,240,"1,059",793,74.88%,
Colorado,2012,G,ADAMS,7213001215,"1,044",293,"1,337",998,74.64%,
Colorado,2012,G,ADAMS,7213001225,194,31,225,187,83.11%,
Colorado,2012,G,ADAMS,7213101117,"1,245",453,"1,698","1,160",68.32%,
Colorado,2012,G,ADAMS,7213101118,805,325,"1,130",756,66.90%,
Colorado,2012,G,ADAMS,7213201001,"1,187",585,"1,772","1,048",59.14%,
Colorado,2012,G,ADAMS,7213201002,"1,176",418,"1,594","1,057",66.31%,
Colorado,2012,G,ADAMS,7213201003,405,139,544,384,70.59%,
Colorado,2012,G,ADAMS,7213201004,691,281,972,647,66.56%,
Colorado,2012,G,ADAMS,7213201005,"1,202",446,"1,648","1,140",69.17%,
Colorado,2012,G,ADAMS,7213201006,743,440,"1,183",664,56.13%,
Colorado,2012,G,ADAMS,7213201007,"1,046",346,"1,392",950,68.25%,
Colorado,2012,G,ADAMS,7213201008,793,274,"1,067",754,70.67%,
Colorado,2012,G,ADAMS,7213201009,710,225,935,670,71.66%,
Colorado,2012,G,ADAMS,7213201021,"1,101",523,"1,624","1,023",62.99%,
Colorado,2012,G,ADAMS,7213201022,"1,139",398,"1,537","1,062",69.10%,
Colorado,2012,G,ADAMS,7213201023,817,356,"1,173",749,63.85%,
Colorado,2012,G,ADAMS,7213201119,972,438,"1,410",888,62.98%,
Colorado,2012,G,ADAMS,7213201120,922,437,"1,359",872,64.16%,
Colorado,2012,G,ADAMS,7213201121,929,432,"1,361",869,63.85%,
Colorado,2012,G,ADAMS,7213201122,561,245,806,523,64.89%,
Colorado,2012,G,ADAMS,7213201123,"1,145",531,"1,676",974,58.11%,
Colorado,2012,G,ADAMS,7213201124,"1,097",493,"1,590",981,61.70%,
Colorado,2012,G,ADAMS,7213201125,"1,390",613,"2,003","1,200",59.91%,
Colorado,2012,G,ADAMS,7213201126,"1,215",517,"1,732","1,104",63.74%,
Colorado,2012,G,ADAMS,7213201127,"1,298",559,"1,857","1,189",64.03%,
Colorado,2012,G,ADAMS,7213201128,"1,562",755,"2,317","1,388",59.91%,
Colorado,2012,G,ADAMS,7213201129,678,409,"1,087",635,58.42%,
Colorado,2012,G,ADAMS,7213201208,377,188,565,359,63.54%,
Colorado,2012,G,ADAMS,7213201209,549,167,716,517,72.21%,
Colorado,2012,G,ADAMS,7213201216,"1,285",361,"1,646","1,206",73.27%,
Colorado,2012,G,ADAMS,7213201217,481,144,625,456,72.96%,
Colorado,2012,G,ADAMS,7213201218,414,84,498,399,80.12%,
Colorado,2012,G,ADAMS,7213201219,154,47,201,147,73.13%,
Colorado,2012,G,ADAMS,7213201220,0,0,0,0,0.00%,
Colorado,2012,G,ADAMS,7213201221,363,58,421,354,84.09%,
Colorado,2012,G,ADAMS,7213201222,0,0,0,0,0.00%,
Colorado,2012,G,ADAMS,7213201223,0,0,0,0,0.00%,
Colorado,2012,G,ADAMS,7213201224,35,12,47,33,70.21%,
Colorado,2012,G,ADAMS,7213401027,614,353,967,544,56.26%,
Colorado,2012,G,ADAMS,7213401030,819,440,"1,259",739,58.70%,
Colorado,2012,G,ADAMS,7213401035,813,518,"1,331",753,56.57%,
Colorado,2012,G,ADAMS,7213401036,645,165,810,618,76.30%,
Colorado,2012,G,ADAMS,7213401042,818,501,"1,319",762,57.77%,
Colorado,2012,G,ADAMS,7213501010,"1,107",553,"1,660",993,59.82%,
Colorado,2012,G,ADAMS,7213501011,"1,213",485,"1,698","1,121",66.02%,
Colorado,2012,G,ADAMS,7213501012,998,320,"1,318",943,71.55%,
Colorado,2012,G,ADAMS,7213501013,"1,333",532,"1,865","1,230",65.95%,
Colorado,2012,G,ADAMS,7213501014,945,312,"1,257",883,70.25%,
Colorado,2012,G,ADAMS,7213501015,"1,068",690,"1,758",914,51.99%,
Colorado,2012,G,ADAMS,7213501016,938,295,"1,233",883,71.61%,
Colorado,2012,G,ADAMS,7213501017,813,286,"1,099",764,69.52%,
Colorado,2012,G,ADAMS,7213501018,871,348,"1,219",811,66.53%,
Colorado,2012,G,ADAMS,7213501019,620,238,858,589,68.65%,
Colorado,2012,G,ADAMS,7213501020,920,418,"1,338",838,62.63%,
Colorado,2012,G,ADAMS,7213501024,"1,011",360,"1,371",961,70.09%,
Colorado,2012,G,ADAMS,7213501025,977,347,"1,324",900,67.98%,
Colorado,2012,G,ADAMS,7213501026,"1,357",611,"1,968","1,227",62.35%,
Colorado,2012,G,ADAMS,7243101078,510,109,619,491,79.32%,
Colorado,2012,G,ADAMS,7243101079,728,151,879,705,80.20%,
Colorado,2012,G,ADAMS,7243101085,"1,034",245,"1,279",997,77.95%,
Colorado,2012,G,ADAMS,7243101086,930,224,"1,154",907,78.60%,
Colorado,2012,G,ADAMS,7243101088,985,240,"1,225",965,78.78%,
Colorado,2012,G,ADAMS,7243101089,"1,119",538,"1,657","1,053",63.55%,
Colorado,2012,G,ADAMS,7243101093,"1,156",473,"1,629","1,117",68.57%,
Colorado,2012,G,ADAMS,7243101094,"1,057",363,"1,420","1,027",72.32%,
Colorado,2012,G,ADAMS,7243101097,869,291,"1,160",863,74.40%,
Colorado,2012,G,ADAMS,7243101105,178,114,292,148,50.68%,
Colorado,2012,G,ADAMS,7243101134,"1,181",468,"1,649","1,143",69.31%,
Colorado,2012,G,ADAMS,7243101135,"1,173",452,"1,625","1,148",70.65%,
Colorado,2012,G,ADAMS,7243101136,853,285,"1,138",838,73.64%,
Colorado,2012,G,ADAMS,7243101137,"1,209",347,"1,556","1,172",75.32%,
Colorado,2012,G,ADAMS,7243101145,"1,000",325,"1,325",979,73.89%,
Colorado,2012,G,ADAMS,7243101146,926,469,"1,395",908,65.09%,
Colorado,2012,G,ADAMS,7243101147,"1,331",523,"1,854","1,284",69.26%,
Colorado,2012,G,ADAMS,7243101149,"1,032",267,"1,299",990,76.21%,
Colorado,2012,G,ADAMS,7243401037,693,450,"1,143",615,53.81%,
Colorado,2012,G,ADAMS,7243401038,"1,124",475,"1,599","1,047",65.48%,
Colorado,2012,G,ADAMS,7243401039,875,217,"1,092",830,76.01%,
Colorado,2012,G,ADAMS,7243401040,896,294,"1,190",843,70.84%,
Colorado,2012,G,ADAMS,7243401041,886,308,"1,194",839,70.27%,
Colorado,2012,G,ADAMS,7243401051,"1,205",414,"1,619","1,178",72.76%,
Colorado,2012,G,ADAMS,7243401052,"1,383",740,"2,123","1,272",59.92%,
Colorado,2012,G,ADAMS,7243401053,"1,040",240,"1,280",997,77.89%,
Colorado,2012,G,ADAMS,7243401080,892,208,"1,100",881,80.09%,
Colorado,2012,G,ADAMS,7243401081,837,219,"1,056",813,76.99%,
Colorado,2012,G,ADAMS,7243401082,837,204,"1,041",828,79.54%,
Colorado,2012,G,ADAMS,7243401083,"1,021",423,"1,444",990,68.56%,
Colorado,2012,G,ADAMS,7243401084,574,160,734,557,75.89%,
Colorado,2012,G,ADAMS,7243401087,945,769,"1,714",850,49.59%,
Colorado,2012,G,ADAMS,7243401090,917,728,"1,645",842,51.19%,
Colorado,2012,G,ADAMS,7243401091,911,561,"1,472",878,59.65%,
Colorado,2012,G,ADAMS,7243401092,"1,106",402,"1,508","1,101",73.01%,
Colorado,2012,G,ADAMS,7243401095,"1,079",357,"1,436","1,043",72.63%,
Colorado,2012,G,ADAMS,7243401096,879,275,"1,154",866,75.04%,
Colorado,2012,G,ADAMS,7243401098,866,298,"1,164",850,73.02%,
Colorado,2012,G,ADAMS,7243401099,635,231,866,616,71.13%,
Colorado,2012,G,ADAMS,7243401100,"1,122",487,"1,609","1,083",67.31%,
Colorado,2012,G,ADAMS,7243401101,967,403,"1,370",932,68.03%,
Colorado,2012,G,ADAMS,7243401102,948,319,"1,267",929,73.32%,
Colorado,2012,G,ADAMS,7243401103,581,393,974,525,53.90%,
Colorado,2012,G,ADAMS,7243401104,884,340,"1,224",849,69.36%,
Colorado,2012,G,ADAMS,7243501031,"1,082",384,"1,466",999,68.14%,
Colorado,2012,G,ADAMS,7243501032,888,306,"1,194",836,70.02%,
Colorado,2012,G,ADAMS,7243501033,"1,244",493,"1,737","1,189",68.45%,
Colorado,2012,G,ADAMS,7243501034,953,353,"1,306",920,70.44%,
Colorado,2012,G,ADAMS,7243501043,903,151,"1,054",890,84.44%,
Colorado,2012,G,ADAMS,7243501044,898,406,"1,304",876,67.18%,
Colorado,2012,G,ADAMS,7243501045,662,156,818,653,79.83%,
Colorado,2012,G,ADAMS,7243501046,694,136,830,689,83.01%,
Colorado,2012,G,ADAMS,7243501047,"1,019",182,"1,201","1,000",83.26%,
Colorado,2012,G,ADAMS,7243501048,790,120,910,772,84.84%,
Colorado,2012,G,ADAMS,7243501049,987,257,"1,244",946,76.05%,
Colorado,2012,G,ADAMS,7243501050,877,243,"1,120",860,76.79%,
Colorado,2012,G,ADAMS,7243501054,763,190,953,742,77.86%,
Colorado,2012,G,ADAMS,7243501055,735,208,943,687,72.85%,
Colorado,2012,G,ADAMS,7243501056,988,238,"1,226",962,78.47%,
Colorado,2012,G,ADAMS,7243501057,762,183,945,728,77.04%,
Colorado,2012,G,ADAMS,7243501058,885,295,"1,180",837,70.93%,
Colorado,2012,G,ADAMS,7243501059,969,219,"1,188",948,79.80%,
Colorado,2012,G,ADAMS,7243501060,957,387,"1,344",910,67.71%,
Colorado,2012,G,ADAMS,7243501061,"1,239",527,"1,766","1,171",66.31%,
Colorado,2012,G,ADAMS,7243501062,845,199,"1,044",818,78.35%,
Colorado,2012,G,ADAMS,7243501063,651,132,783,636,81.23%,
Colorado,2012,G,ADAMS,7243501064,"1,191",740,"1,931","1,108",57.38%,
Colorado,2012,G,ADAMS,7243501065,867,214,"1,081",855,79.09%,
Colorado,2012,G,ADAMS,7243501066,217,141,358,207,57.82%,
Colorado,2012,G,ADAMS,7243501067,510,185,695,489,70.36%,
Colorado,2012,G,ADAMS,7243501068,"1,080",328,"1,408","1,031",73.22%,
Colorado,2012,G,ADAMS,7243501069,620,54,674,611,90.65%,
Colorado,2012,G,ADAMS,7243501070,846,141,987,812,82.27%,
Colorado,2012,G,ADAMS,7253001131,585,300,885,541,61.13%,
Colorado,2012,G,ADAMS,7253001132,847,381,"1,228",771,62.79%,
Colorado,2012,G,ADAMS,7253001138,647,219,866,611,70.55%,
Colorado,2012,G,ADAMS,7253001139,171,47,218,161,73.85%,
Colorado,2012,G,ADAMS,7253001142,520,68,588,496,84.35%,
Colorado,2012,G,ADAMS,7253001143,610,243,853,581,68.11%,
Colorado,2012,G,ADAMS,7253001144,"1,106",440,"1,546","1,094",70.76%,
Colorado,2012,G,ADAMS,7253001148,712,179,891,692,77.67%,
Colorado,2012,G,ADAMS,7253101106,"1,275",615,"1,890","1,194",63.17%,
Colorado,2012,G,ADAMS,7253101107,926,335,"1,261",898,71.21%,
Colorado,2012,G,ADAMS,7253101108,942,391,"1,333",887,66.54%,
Colorado,2012,G,ADAMS,7253101109,"1,001",360,"1,361",948,69.65%,
Colorado,2012,G,ADAMS,7253101110,720,264,984,692,70.33%,
Colorado,2012,G,ADAMS,7253101111,925,349,"1,274",871,68.37%,
Colorado,2012,G,ADAMS,7253101112,"1,625","1,127","2,752","1,446",52.54%,
Colorado,2012,G,ADAMS,7253101113,968,367,"1,335",920,68.91%,
Colorado,2012,G,ADAMS,7253101114,805,382,"1,187",735,61.92%,
Colorado,2012,G,ADAMS,7253101115,850,360,"1,210",806,66.61%,
Colorado,2012,G,ADAMS,7253101116,531,312,843,477,56.58%,
Colorado,2012,G,ADAMS,7253101133,"1,049",376,"1,425","1,019",71.51%,
Colorado,2012,G,ADAMS,7253401028,807,345,"1,152",718,62.33%,
Colorado,2012,G,ADAMS,7253401029,"1,228",614,"1,842","1,095",59.45%,
Colorado,2012,G,ALAMOSA,3356202001,692,317,"1,009",669,66.30%,
Colorado,2012,G,ALAMOSA,3356202002,804,464,"1,268",746,58.83%,
Colorado,2012,G,ALAMOSA,3356202003,"1,220",463,"1,683","1,181",70.17%,
Colorado,2012,G,ALAMOSA,3356202004,"1,322",411,"1,733","1,255",72.42%,
Colorado,2012,G,ALAMOSA,3356202005,596,225,821,558,67.97%,
Colorado,2012,G,ALAMOSA,3356202006,722,351,"1,073",708,65.98%,
Colorado,2012,G,ALAMOSA,3356202007,"1,105",486,"1,591","1,064",66.88%,
Colorado,2012,G,ALAMOSA,3356202008,691,144,835,656,78.56%,
Colorado,2012,G,ARAPAHOE,1260303101,981,314,"1,295",874,67.49%,
Colorado,2012,G,ARAPAHOE,1260303102,948,267,"1,215",806,66.34%,
Colorado,2012,G,ARAPAHOE,1260303103,547,214,761,508,66.75%,
Colorado,2012,G,ARAPAHOE,1260303104,487,176,663,417,62.90%,
Colorado,2012,G,ARAPAHOE,1260303105,952,292,"1,244",887,71.30%,
Colorado,2012,G,ARAPAHOE,1260303106,386,220,606,356,58.75%,
Colorado,2012,G,ARAPAHOE,1260303107,676,203,879,639,72.70%,
Colorado,2012,G,ARAPAHOE,1260303108,601,96,697,581,83.36%,
Colorado,2012,G,ARAPAHOE,1260303109,617,103,720,586,81.39%,
Colorado,2012,G,ARAPAHOE,1260303110,448,63,511,447,87.48%,
Colorado,2012,G,ARAPAHOE,1260303111,"1,147",394,"1,541","1,044",67.75%,
Colorado,2012,G,ARAPAHOE,1260303112,736,159,895,695,77.65%,
Colorado,2012,G,ARAPAHOE,1260303113,402,37,439,384,87.47%,
Colorado,2012,G,ARAPAHOE,1260303114,814,397,"1,211",714,58.96%,
Colorado,2012,G,ARAPAHOE,1260303115,857,272,"1,129",763,67.58%,
Colorado,2012,G,ARAPAHOE,1260303116,"1,049",303,"1,352",949,70.19%,
Colorado,2012,G,ARAPAHOE,1260303117,618,286,904,520,57.52%,
Colorado,2012,G,ARAPAHOE,1260303118,683,210,893,629,70.44%,
Colorado,2012,G,ARAPAHOE,1260303119,660,167,827,623,75.33%,
Colorado,2012,G,ARAPAHOE,1260303120,477,107,584,448,76.71%,
Colorado,2012,G,ARAPAHOE,1260303121,483,107,590,450,76.27%,
Colorado,2012,G,ARAPAHOE,1260303122,566,183,749,545,72.76%,
Colorado,2012,G,ARAPAHOE,1260303123,807,188,995,756,75.98%,
Colorado,2012,G,ARAPAHOE,1260303124,935,224,"1,159",847,73.08%,
Colorado,2012,G,ARAPAHOE,1260303125,530,236,766,458,59.79%,
Colorado,2012,G,ARAPAHOE,1260303129,520,97,617,497,80.55%,
Colorado,2012,G,ARAPAHOE,1260303130,810,187,997,757,75.93%,
Colorado,2012,G,ARAPAHOE,1260303131,924,118,"1,042",888,85.22%,
Colorado,2012,G,ARAPAHOE,1260303132,966,132,"1,098",919,83.70%,
Colorado,2012,G,ARAPAHOE,1260303133,982,127,"1,109",950,85.66%,
Colorado,2012,G,ARAPAHOE,1260303134,510,45,555,484,87.21%,
Colorado,2012,G,ARAPAHOE,1260303135,377,36,413,359,86.92%,
Colorado,2012,G,ARAPAHOE,1260303136,802,71,873,778,89.12%,
Colorado,2012,G,ARAPAHOE,1260303140,415,84,499,408,81.76%,
Colorado,2012,G,ARAPAHOE,1263803141,427,30,457,413,90.37%,
Colorado,2012,G,ARAPAHOE,1310903137,818,90,908,766,84.36%,
Colorado,2012,G,ARAPAHOE,1310903138,397,51,448,380,84.82%,
Colorado,2012,G,ARAPAHOE,1310903139,636,97,733,604,82.40%,
Colorado,2012,G,ARAPAHOE,1310903230,0,0,0,0,0.00%,
Colorado,2012,G,ARAPAHOE,1310903402,0,0,0,0,0.00%,
Colorado,2012,G,ARAPAHOE,1310903475,28,5,33,25,75.76%,
Colorado,2012,G,ARAPAHOE,1310903501,763,405,"1,168",650,55.65%,
Colorado,2012,G,ARAPAHOE,1310903502,986,449,"1,435",790,55.05%,
Colorado,2012,G,ARAPAHOE,4283603348,0,0,0,0,0.00%,
Colorado,2012,G,ARAPAHOE,4283603350,1,0,1,0,0.00%,
Colorado,2012,G,ARAPAHOE,4293603358,39,43,82,28,34.15%,
Colorado,2012,G,ARAPAHOE,4295603357,0,0,0,0,0.00%,
Colorado,2012,G,ARAPAHOE,4295603359,0,0,0,0,0.00%,
Colorado,2012,G,ARAPAHOE,4295603362,"1,692",255,"1,947","1,594",81.87%,
Colorado,2012,G,ARAPAHOE,4295603363,842,165,"1,007",796,79.05%,
Colorado,2012,G,ARAPAHOE,4295603364,979,320,"1,299",937,72.13%,
Colorado,2012,G,ARAPAHOE,4295603365,456,128,584,438,75.00%,
Colorado,2012,G,ARAPAHOE,6260303126,554,264,818,455,55.62%,
Colorado,2012,G,ARAPAHOE,6260303127,95,35,130,85,65.38%,
Colorado,2012,G,ARAPAHOE,6260303128,371,70,441,350,79.37%,
Colorado,2012,G,ARAPAHOE,6260303143,632,197,829,573,69.12%,
Colorado,2012,G,ARAPAHOE,6260303153,"1,046",249,"1,295",940,72.59%,
Colorado,2012,G,ARAPAHOE,6260303161,617,163,780,586,75.13%,
Colorado,2012,G,ARAPAHOE,6260303162,655,260,915,587,64.15%,
Colorado,2012,G,ARAPAHOE,6260303201,355,48,403,345,85.61%,
Colorado,2012,G,ARAPAHOE,6260303202,339,43,382,335,87.70%,
Colorado,2012,G,ARAPAHOE,6260303203,702,68,770,668,86.75%,
Colorado,2012,G,ARAPAHOE,6260303204,"1,485",148,"1,633","1,415",86.65%,
Colorado,2012,G,ARAPAHOE,6260303229,985,97,"1,082",943,87.15%,
Colorado,2012,G,ARAPAHOE,6260303231,"1,674",640,"2,314","1,538",66.46%,
Colorado,2012,G,ARAPAHOE,6260303232,"1,343",148,"1,491","1,285",86.18%,
Colorado,2012,G,ARAPAHOE,6260303234,322,126,448,270,60.27%,
Colorado,2012,G,ARAPAHOE,6260303249,775,61,836,739,88.40%,
Colorado,2012,G,ARAPAHOE,6260303253,"1,341",232,"1,573","1,301",82.71%,
Colorado,2012,G,ARAPAHOE,6260303254,380,44,424,364,85.85%,
Colorado,2012,G,ARAPAHOE,6260303256,0,0,0,0,0.00%,
Colorado,2012,G,ARAPAHOE,6263803142,803,144,947,776,81.94%,
Colorado,2012,G,ARAPAHOE,6263803144,767,61,828,727,87.80%,
Colorado,2012,G,ARAPAHOE,6263803145,589,163,752,562,74.73%,
Colorado,2012,G,ARAPAHOE,6263803146,744,76,820,718,87.56%,
Colorado,2012,G,ARAPAHOE,6263803147,822,115,937,792,84.53%,
Colorado,2012,G,ARAPAHOE,6263803148,500,46,546,489,89.56%,
Colorado,2012,G,ARAPAHOE,6263803149,"1,094",89,"1,183","1,071",90.53%,
Colorado,2012,G,ARAPAHOE,6263803150,"1,064",181,"1,245",987,79.28%,
Colorado,2012,G,ARAPAHOE,6263803151,791,295,"1,086",718,66.11%,
Colorado,2012,G,ARAPAHOE,6263803152,796,137,933,766,82.10%,
Colorado,2012,G,ARAPAHOE,6263803154,875,231,"1,106",810,73.24%,
Colorado,2012,G,ARAPAHOE,6263803155,"1,152",115,"1,267","1,110",87.61%,
Colorado,2012,G,ARAPAHOE,6263803156,427,51,478,412,86.19%,
Colorado,2012,G,ARAPAHOE,6263803157,614,55,669,599,89.54%,
Colorado,2012,G,ARAPAHOE,6263803158,768,139,907,723,79.71%,
Colorado,2012,G,ARAPAHOE,6263803159,703,173,876,655,74.77%,
Colorado,2012,G,ARAPAHOE,6263803160,781,188,969,714,73.68%,
Colorado,2012,G,ARAPAHOE,6263803163,717,131,848,663,78.18%,
Colorado,2012,G,ARAPAHOE,6263803165,898,143,"1,041",855,82.13%,
Colorado,2012,G,ARAPAHOE,6263803166,411,52,463,403,87.04%,
Colorado,2012,G,ARAPAHOE,6263803167,825,147,972,776,79.84%,
Colorado,2012,G,ARAPAHOE,6263803168,883,90,973,865,88.90%,
Colorado,2012,G,ARAPAHOE,6263803169,935,139,"1,074",910,84.73%,
Colorado,2012,G,ARAPAHOE,6263803170,942,251,"1,193",844,70.75%,
Colorado,2012,G,ARAPAHOE,6263803171,700,93,793,683,86.13%,
Colorado,2012,G,ARAPAHOE,6263803172,715,107,822,682,82.97%,
Colorado,2012,G,ARAPAHOE,6263803173,"1,219",227,"1,446","1,175",81.26%,
Colorado,2012,G,ARAPAHOE,6263803174,906,132,"1,038",867,83.53%,
Colorado,2012,G,ARAPAHOE,6263803175,732,113,845,705,83.43%,
Colorado,2012,G,ARAPAHOE,6263803176,857,147,"1,004",813,80.98%,
Colorado,2012,G,ARAPAHOE,6264003255,975,270,"1,245",894,71.81%,
Colorado,2012,G,ARAPAHOE,6264003258,295,24,319,230,72.10%,
